Code,MainCost,Debt,AverageConsume,Target
11155159,164811,0,9.230769231,Low
119106,4312212,0,31.55172414,High
1121370,126703,100049,1.698113208,Low
116744,293643,650667,9.310344828,Low
11144536,485889,0,14.71698113,Low
11108306,564395,752259,18.0,Low
1170874,150325,0,6.666666667,Low
11116971,140227,1593295,0.0,Low
11150303,1779395,335764,21.76470588,High
1132016,140227,0,0.0,Low
11117777,2078279,0,23.61702128,High
1155793,2693585,0,27.16981132,High
1138436,478088,921608,18.38709677,Moderate
1190066,198263,175851,7.5,Low
1183932,547514,0,13.69565217,Low
1190573,283072,333066,12.97297297,Low
113917,166780,0,13.89473684,Low
11136050,372229,0,19.24528302,Low
1176175,701916,0,7.804878049,Low
11117790,431661,1877226,11.4893617,Moderate
11130602,169713,0,4.06779661,Low
11154267,187548,0,10.47169811,Low
11154179,91087,166691,8.461538462,Low
11153298,0,1438340,3.157894737,Low
11119534,555180,953754,16.47058824,Low
11151436,179980,457823,5.555555556,Low
1166118,519766,0,12.35294118,Low
11124050,147696,482348,4.117647059,Low
11117779,761397,330490,16.59574468,Low
11117843,263045,0,7.659574468,Low
1193650,772436,587895,16.95652174,Low
11112529,229187,0,9.130434783,Low
1141472,132332,212897,1.666666667,Low
11102049,938330,0,19.81132075,High
11123890,450704,531889,11.17647059,Low
1188920,1128544,0,22.85714286,High
11141809,750931,0,16.25,Low
11157424,187612,447161,6.470588235,Low
1180462,5378362,0,30.58823529,High
11154330,3083266,0,38.37209302,High
1192338,462758,0,15.65217391,Low
1188665,124047,979538,0.0,Low
1148951,1488832,0,32.22222222,High
11117772,311756,0,8.936170213,Low
11105902,714141,0,15.0,Low
11143378,0,0,6.388888889,Low
1174282,405508,0,12.97297297,Low
1142795,1486372,0,23.20754717,High
11119551,849992,0,17.5,Low
1191154,631601,0,18.0,Low
11150732,123667,350650,0.0,Low
1172004,0,0,1.894736842,Low
1176410,167264,1641272,6.393442623,Moderate
11143532,356693,0,11.45454545,Low
1179291,2693585,3484095,27.16981132,Moderate
1188142,0,1673823,2.210526316,Low
1139409,149407,781697,1.730769231,Low
